Name,ID,Married,Gen,Dept,Rate,training hours,Posi,Posit,Sta,DOB,Sex,CitizenDesc,RaceDesc,Department
"Demita, Carla",1104025179,0,0,5,29,5,20,Production Technician II,MA,02/25/51,F,1,2,Production       
"Hankard, Earnest",1307059937,0,1,5,24,5,20,Production Technician II,MA,08/10/88,M ,1,1,Production       
"Hendrickson, Trina",1011022932,0,0,5,24,5,20,Production Technician II,MA,08/27/72,F,1,1,Production       
"Linden, Mathew",1405067565,1,1,5,22,5,20,Production Technician II,MA,03/19/79,M ,1,1,Production       
"Moran, Patrick",1408069503,0,1,5,26,5,20,Production Technician II,MA,12/03/76,M ,1,3,Production       
"Sahoo, Adil",1106026462,1,1,5,29,5,20,Production Technician II,MA,04/26/86,M ,1,3,Production       
"Burkett, Benjamin ",1301052449,1,1,5,26,5,20,Production Technician II,MA,08/19/77,M ,1,1,Production       
"Foreman, Tanya",1012023204,1,0,5,24,5,20,Production Technician II,MA,11/08/83,F,1,1,Production       
"Jeannite, Tayana",1008020942,0,0,5,22.5,4,20,Production Technician II,MA,11/06/86,F,1,2,Production       
"McCarthy, Brigit",1406067957,0,0,5,26,4,20,Production Technician II,MA,05/21/87,F,1,1,Production       
"Peters, Lauren",1411071406,1,0,5,29,4,20,Production Technician II,MA,08/17/86,F,1,1,Production       
"Walker, Roger",1011022818,0,1,5,22,4,20,Production Technician II,MA,02/10/76,M ,1,1,Production       
"Akinkuolie, Sarah",1005019209,1,0,5,29,4,20,Production Technician II,MA,09/19/88,F,0,1,Production       
"Davis, Daniel",1201031274,0,1,5,25,4,20,Production Technician II,MA,09/14/79,M ,0,1,Production       
"Gosciminski, Phylicia  ",1108028351,0,0,5,27,4,20,Production Technician II,MA,12/08/83,F,1,1,Production       
"Latif, Mohammed",1104025486,1,1,5,28,4,20,Production Technician II,MA,05/09/84,M ,1,1,Production       
"Monterro, Luisa",1001103149,0,0,5,25,4,20,Production Technician II,MA,04/24/70,F,1,1,Production       
"Robertson, Peter",1499902991,1,1,5,22,4,20,Production Technician II,MA,07/03/72,M ,1,1,Production       
"Woodson, Jason",1012023010,0,1,5,24.25,4,20,Production Technician II,MA,05/11/85,M ,1,1,Production       
"Blount, Dianna",1403066125,0,0,5,27,4,20,Production Technician II,MA,09/21/90,F,1,1,Production       
"Erilus, Angela",1105025661,0,0,5,24,4,20,Production Technician II,MA,08/25/89,F,1,1,Production       
"Homberger, Adrienne  J",1207046956,1,0,5,28,5,20,Production Technician II,MA,02/16/84,F,1,1,Production       
"Lundy, Susan",1305056276,0,0,5,24,5,20,Production Technician II,MA,12/26/76,F,1,2,Production       
"Moumanil, Maliki ",1301052436,0,1,5,29,5,20,Production Technician II,MA,12/01/74,M ,1,2,Production       
"Sloan, Constance",1012023103,0,0,5,23,5,20,Production Technician II,MA,11/25/87,F,1,2,Production       
"Buccheri, Joseph  ",1101023457,0,1,5,22,5,20,Production Technician II,MA,07/28/83,M ,1,2,Production       
"Fancett, Nicole",1402065085,0,0,5,24,5,20,Production Technician II,MA,09/27/87,F,1,2,Production       
"Hutter, Rosalie",1103024924,0,0,5,28,5,20,Production Technician II,MA,05/07/92,F,1,1,Production       
"Manchester, Robyn",1110029623,1,0,5,23,5,20,Production Technician II,MA,08/25/76,F,1,1,Production       
"Oliver, Brooke ",1001856521,1,0,5,25,5,20,Production Technician II,MA,02/11/52,F,1,3,Production       
"Thibaud, Kenneth",1011022777,0,1,5,23,5,20,Production Technician II,MA,09/16/75,M ,1,1,Production       
"Daneault, Lynn",1402065303,0,0,6,54,5,21,Sales Manager,VT,04/19/90,F,1,1,Sales
"Kampew, Donysha",1109029264,0,0,6,60.25,5,21,Sales Manager,PA,11/11/89,F,1,1,Sales
"Smith, John",1499902910,0,1,6,56,5,21,Sales Manager,MA,08/16/84,M ,1,2,Sales
"Le, Binh",1009919930,0,0,3,50.25,5,22,Senior BI Developer,MA,06/14/87,F,1,3,IT/IS
"Navathe, Kurt",1009919960,0,1,3,52.25,5,22,Senior BI Developer,MA,04/25/70,M ,1,3,IT/IS
"Wang, Charlie",1009919970,0,1,3,51,5,22,Senior BI Developer,MA,07/08/81,M ,1,3,IT/IS
"LeBlanc, Brandon  R",1102024115,1,1,1,55,5,23,Shared Services Manager,MA,06/10/84,M ,1,1,Admin Offices
"Quinn, Sean",1206043417,1,1,1,55,5,23,Shared Services Manager,MA,11/06/84,M ,0,2,Admin Offices
"Andreola, Colby",1107027358,0,0,4,47.6,5,24,Software Engineer,MA,05/24/79,F,1,1,Software Engineering
"Carabbio, Judith",1101023577,0,0,4,56,5,24,Software Engineer,MA,04/05/87,F,1,1,Software Engineering
"Del Bosque, Keyla",1203032498,0,0,4,57.12,5,24,Software Engineer,MA,07/05/79,F,1,2,Software Engineering
"Exantus, Susan",1401064670,1,0,4,48.5,5,24,Software Engineer,MA,05/15/87,F,1,2,Software Engineering
"Martin, Sandra",1303054625,0,0,4,55.51,5,24,Software Engineer,MA,11/07/87,F,1,3,Software Engineering
"Patronick, Luke",1112030979,0,1,4,52.25,5,24,Software Engineer,MA,02/20/79,M ,1,3,Software Engineering
"Saada, Adell",1012023185,1,0,4,49.25,5,24,Software Engineer,MA,07/24/86,F,1,1,Software Engineering
"Szabo, Andrew",1201031324,0,1,4,48,5,24,Software Engineer,MA,05/06/83,M ,1,1,Software Engineering
"True, Edward",1102024057,0,1,4,45.42,5,24,Software Engineer,MA,06/14/83,M ,0,2,Software Engineering
"Sweetwater, Alex",1001644719,0,1,4,27,5,25,Software Engineering Manager,MA,11/22/66,M ,1,1,Software Engineering
"Foster-Baker, Amy",1201031308,1,0,1,34.95,5,26,Sr. Accountant,MA,04/16/79,F,1,1,Admin Offices
"Boutwell, Bonalyn",1307060188,1,0,1,34.95,5,26,Sr. Accountant,MA,04/04/87,F,1,3,Admin Offices
"Ait Sidi, Karthikeyan   ",1307060199,1,1,3,62,5,27,Sr. DBA,MA,05/05/75,M ,1,1,IT/IS
"Carr, Claudia  N",1010022337,0,0,3,61.3,5,27,Sr. DBA,MA,06/06/86,F,1,2,IT/IS
"Favis, Donald  ",1412071562,0,1,3,58.2,4,30,Enterprise Architect,CT,07/30/64,M ,1,2,IT/IS
"Roehrich, Bianca",1111030266,0,0,3,58.5,4,29,Principal Data Architect,MA,05/27/73,F,1,2,IT/IS
"Daniele, Ann  ",1411071312,1,0,3,54.1,4,28,Sr. Network Engineer,CT,01/18/52,F,1,2,IT/IS
"Lajiri,  Jyoti",1108028108,1,1,3,56.2,6,28,Sr. Network Engineer,MA,04/23/86,M ,1,2,IT/IS
"Semizoglou, Jeremiah  ",904013591,1,1,3,53.8,6,28,Sr. Network Engineer,MA,02/09/83,M ,1,3,IT/IS
"South, Joe",1308060959,0,1,3,53,6,28,Sr. Network Engineer,CT,09/09/65,M ,1,3,IT/IS
"Warfield, Sarah",1301052347,0,0,3,55.2,6,28,Sr. Network Engineer,MA,05/02/78,F,1,3,IT/IS
